FeatID,Average
1716,2.6784
1898,2.6779
323,2.6722
744,2.6643
1875,2.6528
5,2.6421
2109,2.6262
422,2.6253
458,2.6209
1562,2.6209
687,2.6159
531,2.6156
1972,2.6153
1323,2.6028
572,2.6014
51,2.5976
782,2.5938
1568,2.5823
940,2.5791
1657,2.5767
2054,2.5762
1372,2.5759
1050,2.5747
1640,2.5717
1021,2.568
1235,2.5673
180,2.566
1394,2.563
949,2.5627
1443,2.5574
1580,2.5525
151,2.5522
1202,2.5487
372,2.5443
1205,2.5426
2107,2.5393
1943,2.5385
858,2.5262
32,2.5113
906,2.5018
1811,2.4999
801,2.4997
657,2.4879
842,2.4779
210,2.4772
1058,2.4663
1894,2.4622
189,2.4622
1648,2.4617
530,2.4568
2092,2.4555
394,2.4551
754,2.4523
617,2.4482
1728,2.431
412,2.4305
1090,2.4193
850,2.4067
423,2.4063
590,2.4021
435,2.3939
29,2.3904
1145,2.3736
2071,2.3708
1567,2.3639
1151,2.3608
836,2.3596
1414,2.3422
273,2.3346
1070,2.3346
948,2.3236
879,2.3198
1004,2.316
1259,2.3031
501,2.2933
226,2.2829
2019,2.2816
387,2.2785
414,2.2636
2091,2.2477
1085,2.2456
886,2.2339
111,2.2336
763,2.2258
130,2.2161
1361,2.2149
173,2.2083
1461,2.2083
1175,2.2002
265,2.2001
223,2.1996
86,2.1996
430,2.1966
1958,2.1918
737,2.1836
1973,2.1766
947,2.1722
1916,2.1559
671,2.1511
1274,2.1482
1143,2.1448
386,2.1416
486,2.141
684,2.129
256,2.1286
1378,2.1218
1700,2.1202
1466,2.1047
156,2.1037
97,2.1019
24,2.0961
1715,2.0952
1500,2.0918
1901,2.0917
1612,2.0892
1137,2.0859
1686,2.0847
1903,2.0819
1110,2.0763
1738,2.0762
2139,2.0741
921,2.0733
625,2.0729
453,2.0642
1245,2.0544
255,2.0501
1734,2.0501
752,2.0466
920,2.0382
1056,2.0322
1332,2.0182
2014,2.0082
2066,2
1196,1.9895
1585,1.9865
427,1.9835
1216,1.9819
1186,1.9784
1980,1.9698
686,1.9649
1987,1.9638
655,1.9608
818,1.9573
1262,1.955
267,1.9382
1850,1.9364
219,1.932
2157,1.932
23,1.9187
83,1.9147
2153,1.9144
1553,1.9096
602,1.909
1436,1.9045
2155,1.8981
2089,1.8943
1366,1.8931
1639,1.875
705,1.8749
618,1.8674
1191,1.8673
1144,1.8672
2006,1.8642
741,1.863
1219,1.8625
164,1.8567
908,1.8548
2148,1.8498
454,1.8414
983,1.8409
2115,1.8326
2015,1.8305
753,1.8228
1480,1.8186
1408,1.8138
1237,1.8034
1096,1.7949
1208,1.7898
1192,1.7866
160,1.7852
415,1.7828
385,1.7813
1105,1.7798
1111,1.7636
1322,1.7559
2100,1.7551
854,1.7432
1725,1.7419
73,1.7378
2171,1.7261
575,1.717
1377,1.6978
142,1.6974
1822,1.6962
1507,1.695
1222,1.6883
7,1.6865
689,1.679
302,1.6683
1084,1.6583
1221,1.655
642,1.6525
1845,1.6513
1692,1.6382
75,1.6369
1754,1.6367
1783,1.6282
1212,1.6235
1711,1.6173
1367,1.6137
1162,1.6129
1030,1.6103
1691,1.6085
2058,1.5993
1247,1.5845
1390,1.5845
196,1.5834
1629,1.581
329,1.5699
722,1.5657
1126,1.5579
751,1.5566
2147,1.5519
552,1.5477
